ID,var1,var2,var3,var4
000180705DE0CD8A5696917756A788EC7A7E07066AD929B91842D2B4167D82E6,1,2,3,4
000187B2E466AEFD238F613D3677E827E733811FA1EEAB35210794630FD57F0E,1,2,3,4
0001A321CD2E6E013DFB36FA6210292A62844D3695F9F363CC04012E9AF4432E,1,2,3,4
000252F7D082F01F8983C9643F2B0B80C97C1AA0E3272DE03FF328D10305ADF5,1,2,3,4
00047A0D25DEE9923AF966517077CAF273AE11F778DECBF72F4D9BE4607FCCD2,1,2,3,4
0004E4DF119733B26DA6F33ACD03B4D6AC5C9CAE74E3F05AEEE53169F47E57D2,1,2,3,4
000A68A4D0E5577ABFD9EE32D2750588AAAEAB6357856C11637A023025BCFC02,1,2,3,4
000BB355EAC320DA871666D836E59B92C8EF3BC893FFAF02A83F139737CF98B9,1,2,3,4
000BD86822ACB6E4EF0B504D5E0876BCF4A357265C3713E35F5E4F70099EF796,1,2,3,4
000BE57D4D50B7B51626383B59B81DFFF9A823A967AF7D22D551F9350F2DCCDF,1,2,3,4
000C1435B2CBFF5CE4BF03D23C23D55ED6104444F88C89BCDAC525DC2118627B,1,2,3,4
000F94CDBA28A78C73327309E096FD201D09CE6EAB5ED8AAEBFAE3B2019F1962,1,2,3,4
000FF7B536487E54A83BDA69A401D67E99FD37293FDAC6CA3795BE45D920DD01,1,2,3,4
00106CD59003FCEB36EFE2BDB0C778BD637DDF23D950DFB9F4A31B36193A3AF3,1,2,3,4
0012CCF88FFEAB9609DB5A8A100A0ACC18566935A2E0E53AA4C730F88CEC2830,1,2,3,4
001356D9DD8FD74A691F161D28099C3F78B79191683550D6A76BB3CD44363B63,1,2,3,4
0015074942160073985B5065852801EEF50AEF102B24C819969C054A766B4271,1,2,3,4
00170E85155606E01CEFFBA7C02E9D10E60AE495E39DC114BC79D18639E5F9FD,1,2,3,4
0017117890DD72EED699F27EC4D7258B4D52BAA51EBAABABC71775FE4287817E,1,2,3,4
0018B7F6CCE363CB445C631E76F8DFE580E4B7E9B4D79CF5178B6787D204AEC1,1,2,3,4
001C683E85FED35853D4600B76CBBB0783FFEDF64933163819B7DB38E9B0ED32,1,2,3,4
001DBBA29650B285114C6EB365741E1003D4A40E9B78E1C5AB94DE637FB1BD4F,1,2,3,4
001E148169D1FAE06127CBEB8D9C41ABA8C71CD6833AEEEFFED46A077E515EBD,1,2,3,4
001F3112932201BBE498C76DFF66980BF2A68BB5EF2359F3C5B7D17A280F1F4E,1,2,3,4
0020C72829D3FCAB03191E3F2822D601C496A1F1580B72CCE6885B0183DA60DC,1,2,3,4
0020DE7800134044C0086C9EEA8B2E452036C605ECCD0923033B7FDCA03DE1D1,1,2,3,4
00217B48DEA01EE613360154989D05638CE42A1DBC5ECD9F9C0CE8D99B17D423,1,2,3,4
002435BB6E27D646BDD7A4B004DB6F83A91208024DAF2BF228C40E1A5D07EF5D,1,2,3,4
0027CA7C5841BF7D4F7685E9518A6C47CB3A6768B0CC6F8A1F438FF5AA87841F,1,2,3,4
002AADE4935423EB58C0BBB597BCD837681ADA791E52C643F3B7BAD631AA921A,1,2,3,4
002BE9B38E55A05EDAB095505543DBF87C3A428C554EE34BBE9DF7776C4C54BD,1,2,3,4
0030A238F9DA2AD5AC46E0229CB909BF1F3B5F55A6C6740B646599C4364A3C19,1,2,3,4
0032ED82BF333833110BBEE3D6065F7E12075A8578BD95C75D116D13D09BEF73,1,2,3,4
00340F35E18C00E19A3A86F958B233FE59A0FB01090DDDC71FD8B2C3C2C821FD,1,2,3,4
00353E098FB7A0644FCE4E074CC2D4BE87046CD166CBD2A389F4E2D705726C78,1,2,3,4
00366D8615334FBEA4A6C36B1D45324A4B84D90735B546670122DBD4BA7D78A3,1,2,3,4
0038904AD0ECE102827A82C5FEFE8C4C48A088A40E9D84991B10642CDAF05382,1,2,3,4
0038DE9B3FF005402F8B2403C3AE07A6B319B7D48A5186A05F9FCE0531E4D390,1,2,3,4
003C84E0B4C65963879161D1629CA04683FB74EF95D050D0024B09FACDA7B6D5,1,2,3,4
003E1A71AD39D30B6E8FBF28CE985749EE03DC1BD89A433EF8CAC5484A7E69A9,1,2,3,4
003EF2D92C4B449D3E30C24A471E307B1EE6B0B1C5F3548F4D944887F0E6935C,1,2,3,4
004093295BF30E8083FCCF76B75305E5F6FBBCEB93C9BF695DFC2CB4F3A750F3,1,2,3,4
004141A320321D7B77398415CD2BFCA4EE8C06AF1E3D8B60A66E15A2ADD22BE7,1,2,3,4
0042559203884233D5DF7EDA711B84DA75492026F01D9B3DD52812130D0C6E89,1,2,3,4
0043892E982D3B2742CC0C747A010918A73D508FA8D93557B2D92D0B2E64C315,1,2,3,4
00474865351204A6413C8F4D4EF1CC1A56DC28961FA2938D11BD061B803943A0,1,2,3,4
00483745BFEB87962FA271B35B16D2383CDDD9C5DD99037D39D89FB856F79070,1,2,3,4
0048904D5A637C76C8EBAE8717B631B33A5F1296D7691F1D2ACC5A5F6F1300B6,1,2,3,4
0049BF2B78F244F835F6F63E44D4D2C2B8F9E9F14408F53FACF6897D69F0E3B0,1,2,3,4
004A5DBDA31D6D87932F6F8057F0383197092C2D3ACD551557581AA1EE6FCA67,1,2,3,4
004B3D6E0B95ADA62D704F9338DA06046A21B50146FF0EECB74772E899AEBD7F,1,2,3,4
004C89E2A9C9C0832548FFD19F8D23238285F044CF25B00BCBE4D3A098709DB8,1,2,3,4
004CFBEFCA21C5860BFF65EB454FA2E024196BC20707031E19482017DB7556A9,1,2,3,4
004D7EFAFEC8C3BD4A02874E8A0C324C547F7A80F12CBE3C7CC1B04E3F378883,1,2,3,4
004DDBF628C197F427AAC210A159DED3D88C648EF7AA38A741A21B056EB85271,1,2,3,4
004DDFD19ED53ADDF3D65FD41E2F66493CE60E565E34056CDF7C76FBBA845911,1,2,3,4
004E6EC820A3564877E1F81DD9812F01AA4940BFBE9C1D57A7F56F79BEFA3CE1,1,2,3,4
004F62D2E8A7C0E8F2577D2FAAD02E367D7E9DC6563BC013C666BF773D8DCEFD,1,2,3,4
005040EC04703384DBB89B06BC406F2492825E39B18FD9E65D32F5EAF77D2464,1,2,3,4
0050B1A85A3EF45C80D43D11B5B7875FAB7596659E75D702FEF81FB85F5D4C5D,1,2,3,4
005133633FE1E0A57BDADD1B0195EFBFBC9A9DEEDB6FD0075562F9C97225E759,1,2,3,4
00522C7195E27E0B1E51584C67D03FFB501486461243ED3B292B4A558E45511E,1,2,3,4
00530C0556EE694DC0E1525599BACEFFF222D5A743DE8BE768FC316688C24779,1,2,3,4
005477C4915EAAD692F2E7B11B7875FC6D1BF8A20B65EC5A134F6F7178BFA4CC,1,2,3,4
0055AD3B66ADC3A681D273218488F3C862F8949BF3BBB06552A9CF2F89B69CDF,1,2,3,4
0055E556263887FF6BDEC7D83CD0A5EE82EF8F959DB870138681BC75DDD4E0BF,1,2,3,4
00573E9AFF0A770054BA4908C98B4543B4055DF7FAE09A4D91741E8BDC4B21FE,1,2,3,4
